Phi [deg],data1,data2,data3,data4
0,-31.07632162,-36.07632162,-43.57632162,-51.07632162
1,-35.79033351,-40.79033351,-48.29033351,-55.79033351
2,-36.52416403,-41.52416403,-49.02416403,-56.52416403
3,-31.81660308,-36.81660308,-44.31660308,-51.81660308
4,-28.03729981,-33.03729981,-40.53729981,-48.03729981
5,-25.28166965,-30.28166965,-37.78166965,-45.28166965
6,-23.15402263,-28.15402263,-35.65402263,-43.15402263
7,-21.43003227,-26.43003227,-33.93003227,-41.43003227
8,-19.9834651,-24.9834651,-32.4834651,-39.9834651
9,-18.73815465,-23.73815465,-31.23815465,-38.73815465
10,-17.64508238,-22.64508238,-30.14508238,-37.64508238
11,-16.67099886,-21.67099886,-29.17099886,-36.67099886
12,-15.79237599,-20.79237599,-28.29237599,-35.79237599
13,-14.99198227,-19.99198227,-27.49198227,-34.99198227
14,-14.25683518,-19.25683518,-26.75683518,-34.25683518
15,-13.57691955,-18.57691955,-26.07691955,-33.57691955
16,-12.94435336,-17.94435336,-25.44435336,-32.94435336
17,-12.35282674,-17.35282674,-24.85282674,-32.35282674
18,-11.79721346,-16.79721346,-24.29721346,-31.79721346
19,-11.27329526,-16.27329526,-23.77329526,-31.27329526
20,-10.77756201,-15.77756201,-23.27756201,-30.77756201
21,-10.30706377,-15.30706377,-22.80706377,-30.30706377
22,-9.859299697,-14.8592997,-22.3592997,-29.8592997
23,-9.432133107,-14.43213311,-21.93213311,-29.43213311
24,-9.023725721,-14.02372572,-21.52372572,-29.02372572
25,-8.632486126,-13.63248613,-21.13248613,-28.63248613
26,-8.257028902,-13.2570289,-20.7570289,-28.2570289
27,-7.896141868,-12.89614187,-20.39614187,-27.89614187
28,-7.548759596,-12.5487596,-20.0487596,-27.5487596
29,-7.213941791,-12.21394179,-19.71394179,-27.21394179
30,-6.890855511,-11.89085551,-19.39085551,-26.89085551
31,-6.57876043,-11.57876043,-19.07876043,-26.57876043
32,-6.276996536,-11.27699654,-18.77699654,-26.27699654
33,-5.984973798,-10.9849738,-18.4849738,-25.9849738
34,-5.702163433,-10.70216343,-18.20216343,-25.70216343
35,-5.42809048,-10.42809048,-17.92809048,-25.42809048
36,-5.162327457,-10.16232746,-17.66232746,-25.16232746
37,-4.904488908,-9.904488908,-17.40448891,-24.90448891
38,-4.654226706,-9.654226706,-17.15422671,-24.65422671
39,-4.411225969,-9.411225969,-16.91122597,-24.41122597
40,-4.175201515,-9.175201515,-16.67520151,-24.17520151
41,-3.945894757,-8.945894757,-16.44589476,-23.94589476
42,-3.723070983,-8.723070983,-16.22307098,-23.72307098
43,-3.50651696,-8.50651696,-16.00651696,-23.50651696
44,-3.296038813,-8.296038813,-15.79603881,-23.29603881
45,-3.091460153,-8.091460153,-15.59146015,-23.09146015
46,-2.892620406,-7.892620406,-15.39262041,-22.89262041
47,-2.699373327,-7.699373327,-15.19937333,-22.69937333
48,-2.511585673,-7.511585673,-15.01158567,-22.51158567
49,-2.329136008,-7.329136008,-14.82913601,-22.32913601
50,-2.151913635,-7.151913635,-14.65191363,-22.15191363
51,-1.979817634,-6.979817634,-14.47981763,-21.97981763
52,-1.812755992,-6.812755992,-14.31275599,-21.81275599
53,-1.65064482,-6.65064482,-14.15064482,-21.65064482
54,-1.49340764,-6.49340764,-13.99340764,-21.49340764
55,-1.34097474,-6.34097474,-13.84097474,-21.34097474
56,-1.193282591,-6.193282591,-13.69328259,-21.19328259
57,-1.050273314,-6.050273314,-13.55027331,-21.05027331
58,-0.911894194,-5.911894194,-13.41189419,-20.91189419
59,-0.778097238,-5.778097238,-13.27809724,-20.77809724
60,-0.648838773,-5.648838773,-13.14883877,-20.64883877
61,-0.524079076,-5.524079076,-13.02407908,-20.52407908
62,-0.403782038,-5.403782038,-12.90378204,-20.40378204
63,-0.287914856,-5.287914856,-12.78791486,-20.28791486
64,-0.176447749,-5.176447749,-12.67644775,-20.17644775
65,-0.069353702,-5.069353702,-12.5693537,-20.0693537
66,0.033391771,-4.966608229,-12.46660823,-19.96660823
67,0.131810848,-4.868189152,-12.36818915,-19.86818915
68,0.22592359,-4.77407641,-12.27407641,-19.77407641
69,0.31574813,-4.68425187,-12.18425187,-19.68425187
70,0.401300839,-4.598699161,-12.09869916,-19.59869916
71,0.482596475,-4.517403525,-12.01740353,-19.51740353
72,0.559648327,-4.440351673,-11.94035167,-19.44035167
73,0.632468342,-4.367531658,-11.86753166,-19.36753166
74,0.701067242,-4.298932758,-11.79893276,-19.29893276
75,0.765454633,-4.234545367,-11.73454537,-19.23454537
76,0.825639099,-4.174360901,-11.6743609,-19.1743609
77,0.881628297,-4.118371703,-11.6183717,-19.1183717
78,0.933429031,-4.066570969,-11.56657097,-19.06657097
79,0.981047331,-4.018952669,-11.51895267,-19.01895267
80,1.02448852,-3.97551148,-11.47551148,-18.97551148
81,1.063757267,-3.936242733,-11.43624273,-18.93624273
82,1.09885765,-3.90114235,-11.40114235,-18.90114235
83,1.129793198,-3.870206802,-11.3702068,-18.8702068
84,1.156566934,-3.843433066,-11.34343307,-18.84343307
85,1.179181415,-3.820818585,-11.32081858,-18.82081858
86,1.197638762,-3.802361238,-11.30236124,-18.80236124
87,1.211940688,-3.788059312,-11.28805931,-18.78805931
88,1.222088519,-3.777911481,-11.27791148,-18.77791148
89,1.228083216,-3.771916784,-11.27191678,-18.77191678
90,1.229925386,-3.770074614,-11.27007461,-18.77007461
91,1.227615289,-3.772384711,-11.27238471,-18.77238471
92,1.22115285,-3.77884715,-11.27884715,-18.77884715
93,1.210537652,-3.789462348,-11.28946235,-18.78946235
94,1.195768935,-3.804231065,-11.30423106,-18.80423106
95,1.176845591,-3.823154409,-11.32315441,-18.82315441
96,1.153766144,-3.846233856,-11.34623386,-18.84623386
97,1.12652874,-3.87347126,-11.37347126,-18.87347126
98,1.095131119,-3.904868881,-11.40486888,-18.90486888
99,1.05957059,-3.94042941,-11.44042941,-18.94042941
100,1.019843995,-3.980156005,-11.480156,-18.980156
101,0.975947676,-4.024052324,-11.52405232,-19.02405232
102,0.927877427,-4.072122573,-11.57212257,-19.07212257
103,0.875628442,-4.124371558,-11.62437156,-19.12437156
104,0.819195263,-4.180804737,-11.68080474,-19.18080474
105,0.758571711,-4.241428289,-11.74142829,-19.24142829
106,0.693750817,-4.306249183,-11.80624918,-19.30624918
107,0.624724744,-4.375275256,-11.87527526,-19.37527526
108,0.551484694,-4.448515306,-11.94851531,-19.44851531
109,0.474020818,-4.525979182,-12.02597918,-19.52597918
110,0.392322101,-4.607677899,-12.1076779,-19.6076779
111,0.306376253,-4.693623747,-12.19362375,-19.69362375
112,0.216169574,-4.783830426,-12.28383043,-19.78383043
113,0.121686814,-4.878313186,-12.37831319,-19.87831319
114,0.022911021,-4.977088979,-12.47708898,-19.97708898
115,-0.08017663,-5.08017663,-12.58017663,-20.08017663
116,-0.187597018,-5.187597018,-12.68759702,-20.18759702
117,-0.299373285,-5.299373285,-12.79937328,-20.29937328
118,-0.415531045,-5.415531045,-12.91553104,-20.41553104
119,-0.536098632,-5.536098632,-13.03609863,-20.53609863
120,-0.661107357,-5.661107357,-13.16110736,-20.66110736
121,-0.790591797,-5.790591797,-13.2905918,-20.7905918
122,-0.9245901,-5.9245901,-13.4245901,-20.9245901
123,-1.063144334,-6.063144334,-13.56314433,-21.06314433
124,-1.206300849,-6.206300849,-13.70630085,-21.20630085
125,-1.354110691,-6.354110691,-13.85411069,-21.35411069
126,-1.506630043,-6.506630043,-14.00663004,-21.50663004
127,-1.663920711,-6.663920711,-14.16392071,-21.66392071
128,-1.826050661,-6.826050661,-14.32605066,-21.82605066
129,-1.993094601,-6.993094601,-14.4930946,-21.9930946
130,-2.165134631,-7.165134631,-14.66513463,-22.16513463
131,-2.342260945,-7.342260945,-14.84226095,-22.34226095
132,-2.524572624,-7.524572624,-15.02457262,-22.52457262
133,-2.71217849,-7.71217849,-15.21217849,-22.71217849
134,-2.905198071,-7.905198071,-15.40519807,-22.90519807
135,-3.103762661,-8.103762661,-15.60376266,-23.10376266
136,-3.308016503,-8.308016503,-15.8080165,-23.3080165
137,-3.518118103,-8.518118103,-16.0181181,-23.5181181
138,-3.734241705,-8.734241705,-16.2342417,-23.7342417
139,-3.956578939,-8.956578939,-16.45657894,-23.95657894
140,-4.185340677,-9.185340677,-16.68534068,-24.18534068
141,-4.420759119,-9.420759119,-16.92075912,-24.42075912
142,-4.663090164,-9.663090164,-17.16309016,-24.66309016
143,-4.912616084,-9.912616084,-17.41261608,-24.91261608
144,-5.169648589,-10.16964859,-17.66964859,-25.16964859
145,-5.434532313,-10.43453231,-17.93453231,-25.43453231
146,-5.70764883,-10.70764883,-18.20764883,-25.70764883
147,-5.989421276,-10.98942128,-18.48942128,-25.98942128
148,-6.280319701,-11.2803197,-18.7803197,-26.2803197
149,-6.580867301,-11.5808673,-19.0808673,-26.5808673
150,-6.891647702,-11.8916477,-19.3916477,-26.8916477
151,-7.213313523,-12.21331352,-19.71331352,-27.21331352
152,-7.546596502,-12.5465965,-20.0465965,-27.5465965
153,-7.892319535,-12.89231954,-20.39231954,-27.89231954
154,-8.251411102,-13.2514111,-20.7514111,-28.2514111
155,-8.624922638,-13.62492264,-21.12492264,-28.62492264
156,-9.014049644,-14.01404964,-21.51404964,-29.01404964
157,-9.420157528,-14.42015753,-21.92015753,-29.42015753
158,-9.844813505,-14.84481351,-22.34481351,-29.84481351
159,-10.28982638,-15.28982638,-22.78982638,-30.28982638
160,-10.7572966,-15.7572966,-23.2572966,-30.7572966
161,-11.24968008,-16.24968008,-23.74968008,-31.24968008
162,-11.76987034,-16.76987034,-24.26987034,-31.76987034
163,-12.32130597,-17.32130597,-24.82130597,-32.32130597
164,-12.90811312,-17.90811312,-25.40811312,-32.90811312
165,-13.5352976,-18.5352976,-26.0352976,-33.5352976
166,-14.20900907,-19.20900907,-26.70900907,-34.20900907
167,-14.93691179,-19.93691179,-27.43691179,-34.93691179
168,-15.72871784,-20.72871784,-28.22871784,-35.72871784
169,-16.5969755,-21.5969755,-29.0969755,-36.5969755
170,-17.55827275,-22.55827275,-30.05827275,-37.55827275
171,-18.6351438,-23.6351438,-31.1351438,-38.6351438
172,-19.85922384,-24.85922384,-32.35922384,-39.85922384
173,-21.27673907,-26.27673907,-33.77673907,-41.27673907
174,-22.95862365,-27.95862365,-35.45862365,-42.95862365
175,-25.02025233,-30.02025233,-37.52025233,-45.02025233
176,-27.66045704,-32.66045704,-40.16045704,-47.66045704
177,-31.21111547,-36.21111547,-43.71111547,-51.21111547
178,-35.61052812,-40.61052812,-48.11052812,-55.61052812
179,-35.73166868,-40.73166868,-48.23166868,-55.73166868
180,-31.34597774,-36.34597774,-43.84597774,-51.34597774
181,-27.76325744,-32.76325744,-40.26325744,-47.76325744
182,-25.10289101,-30.10289101,-37.60289101,-45.10289101
183,-23.02934279,-28.02934279,-35.52934279,-43.02934279
184,-21.34021429,-26.34021429,-33.84021429,-41.34021429
185,-19.91822006,-24.91822006,-32.41822006,-39.91822006
186,-18.69138776,-23.69138776,-31.19138776,-38.69138776
187,-17.61289131,-22.61289131,-30.11289131,-37.61289131
188,-16.65072711,-21.65072711,-29.15072711,-36.65072711
189,-15.78212218,-20.78212218,-28.28212218,-35.78212218
190,-14.99032655,-19.99032655,-27.49032655,-34.99032655
191,-14.26267749,-19.26267749,-26.76267749,-34.26267749
192,-13.58937923,-18.58937923,-26.08937923,-33.58937923
193,-12.96270442,-17.96270442,-25.46270442,-32.96270442
194,-12.37645452,-17.37645452,-24.87645452,-32.37645452
195,-11.82558494,-16.82558494,-24.32558494,-31.82558494
196,-11.30593817,-16.30593817,-23.80593817,-31.30593817
197,-10.81404972,-15.81404972,-23.31404972,-30.81404972
198,-10.34700438,-15.34700438,-22.84700438,-30.34700438
199,-9.902327849,-14.90232785,-22.40232785,-29.90232785
200,-9.477903872,-14.47790387,-21.97790387,-29.47790387
201,-9.071909954,-14.07190995,-21.57190995,-29.07190995
202,-8.682766923,-13.68276692,-21.18276692,-28.68276692
203,-8.309098875,-13.30909888,-20.80909888,-28.30909888
204,-7.949701052,-12.94970105,-20.44970105,-27.94970105
205,-7.603513833,-12.60351383,-20.10351383,-27.60351383
206,-7.269601494,-12.26960149,-19.76960149,-27.26960149
207,-6.947134724,-11.94713472,-19.44713472,-26.94713472
208,-6.635376116,-11.63537612,-19.13537612,-26.63537612
209,-6.333668058,-11.33366806,-18.83366806,-26.33366806
210,-6.041422545,-11.04142255,-18.54142255,-26.04142255
211,-5.758112569,-10.75811257,-18.25811257,-25.75811257
212,-5.483264786,-10.48326479,-17.98326479,-25.48326479
213,-5.216453255,-10.21645326,-17.71645326,-25.21645326
214,-4.957294048,-9.957294048,-17.45729405,-24.95729405
215,-4.705440595,-9.705440595,-17.20544059,-24.70544059
216,-4.460579652,-9.460579652,-16.96057965,-24.46057965
